Code,Preset,Standard,Display,Parent,Order,Required
4A,"4 - Asian, Black, White, Other inc Mixed",Asian,Asian,Asian,1000,TRUE
4A,"4 - Asian, Black, White, Other inc Mixed",Black,Black,Black,2000,TRUE
4A,"4 - Asian, Black, White, Other inc Mixed",White,White,White,4000,TRUE
4A,"4 - Asian, Black, White, Other inc Mixed",Other,Other inc Mixed,Other inc Mixed,9030,TRUE
4A,"4 - Asian, Black, White, Other inc Mixed",All,All,All,0,
4A,"4 - Asian, Black, White, Other inc Mixed",Other inc Mixed,Other inc Mixed,Other inc Mixed,9030,
4A,"4 - Asian, Black, White, Other inc Mixed",Unknown,Unknown,Unknown,9980,
4A,"4 - Asian, Black, White, Other inc Mixed",Unclassified,Unclassified,Unclassified,9990,
4A,"4 - Asian, Black, White, Other inc Mixed",Unmatched,Unmatched,Unmatched,9991,
4A,"4 - Asian, Black, White, Other inc Mixed",Not applicable,Not applicable,Not applicable,9999,
4B,"4 - Black, Mixed, White, Other inc Asian",Black,Black,Black,2000,TRUE
4B,"4 - Black, Mixed, White, Other inc Asian",Mixed,Mixed,Mixed,3000,TRUE
4B,"4 - Black, Mixed, White, Other inc Asian",White,White,White,4000,TRUE
4B,"4 - Black, Mixed, White, Other inc Asian",Other,Other inc Asian,Other inc Asian,9030,TRUE
4B,"4 - Black, Mixed, White, Other inc Asian",All,All,All,0,
4B,"4 - Black, Mixed, White, Other inc Asian",Other inc Asian,Other inc Asian,Other inc Asian,9030,
4B,"4 - Black, Mixed, White, Other inc Asian",Unknown,Unknown,Unknown,9980,
4B,"4 - Black, Mixed, White, Other inc Asian",Unclassified,Unclassified,Unclassified,9990,
4B,"4 - Black, Mixed, White, Other inc Asian",Unmatched,Unmatched,Unmatched,9991,
4B,"4 - Black, Mixed, White, Other inc Asian",Not applicable,Not applicable,Not applicable,9999,
5C,"5 - Asian, Black, White British, White other, Other inc Mixed",Asian,Asian,Asian,1000,TRUE
5C,"5 - Asian, Black, White British, White other, Other inc Mixed",Black,Black,Black,2000,TRUE
5C,"5 - Asian, Black, White British, White other, Other inc Mixed",White British,White British,White,4100,TRUE
5C,"5 - Asian, Black, White British, White other, Other inc Mixed",White other,White other,White,4910,TRUE
5C,"5 - Asian, Black, White British, White other, Other inc Mixed",Other,Other inc Mixed,Other inc Mixed,9030,TRUE
5C,"5 - Asian, Black, White British, White other, Other inc Mixed",All,All,All,0,
5C,"5 - Asian, Black, White British, White other, Other inc Mixed",White other than British,White other,White,4910,
5C,"5 - Asian, Black, White British, White other, Other inc Mixed",Other inc Mixed,Other inc Mixed,Other inc Mixed,9030,
5C,"5 - Asian, Black, White British, White other, Other inc Mixed",Unknown,Unknown,Unknown,9980,
5C,"5 - Asian, Black, White British, White other, Other inc Mixed",Unclassified,Unclassified,Unclassified,9990,
5C,"5 - Asian, Black, White British, White other, Other inc Mixed",Unmatched,Unmatched,Unmatched,9991,
5C,"5 - Asian, Black, White British, White other, Other inc Mixed",Not applicable,Not applicable,Not applicable,9999,
6B+,"6 - Asian, Black, Mixed, White British, White other than British, Other - Aggregates",Asian,Asian,Asian,1000,TRUE
6B+,"6 - Asian, Black, Mixed, White British, White other than British, Other - Aggregates",Black,Black,Black,2000,TRUE
6B+,"6 - Asian, Black, Mixed, White British, White other than British, Other - Aggregates",Mixed,Mixed,Mixed,3000,TRUE
6B+,"6 - Asian, Black, Mixed, White British, White other than British, Other - Aggregates",White British,White British,White,4100,TRUE
6B+,"6 - Asian, Black, Mixed, White British, White other than British, Other - Aggregates",White other,White other,White,4910,TRUE
6B+,"6 - Asian, Black, Mixed, White British, White other than British, Other - Aggregates",Other,Other,Other,9000,TRUE
6B+,"6 - Asian, Black, Mixed, White British, White other than British, Other - Aggregates",White,White,White,4000,
6B+,"6 - Asian, Black, Mixed, White British, White other than British, Other - Aggregates",All,All,All,0,
6B+,"6 - Asian, Black, Mixed, White British, White other than British, Other - Aggregates",Unknown,Unknown,Unknown,9980,
6B+,"6 - Asian, Black, Mixed, White British, White other than British, Other - Aggregates",Unclassified,Unclassified,Unclassified,9990,
6B+,"6 - Asian, Black, Mixed, White British, White other than British, Other - Aggregates",Unmatched,Unmatched,Unmatched,9991,
6B+,"6 - Asian, Black, Mixed, White British, White other than British, Other - Aggregates",Not applicable,Not applicable,Not applicable,9999,
6B,"6 - Asian, Black, Mixed, White British, White other than British, Other",Asian,Asian,Asian,1000,TRUE
6B,"6 - Asian, Black, Mixed, White British, White other than British, Other",Black,Black,Black,2000,TRUE
6B,"6 - Asian, Black, Mixed, White British, White other than British, Other",Mixed,Mixed,Mixed,3000,TRUE
6B,"6 - Asian, Black, Mixed, White British, White other than British, Other",White British,White British,White British,4100,TRUE
6B,"6 - Asian, Black, Mixed, White British, White other than British, Other",White other,White other,White other than British,4910,TRUE
6B,"6 - Asian, Black, Mixed, White British, White other than British, Other",Other,Other,Other,9000,TRUE
6B,"6 - Asian, Black, Mixed, White British, White other than British, Other",All,All,All,0,
6B,"6 - Asian, Black, Mixed, White British, White other than British, Other",Unknown,Unknown,Unknown,9980,
